2020-10-16 18:38:14 INFO  DriverUtils:22 - Launching Chrome Browser.
2020-10-16 18:38:19 INFO  CommonUtils:23 - Clicking on element - [[ChromeDriver: chrome on WINDOWS (a1830caa6af76161cfcba57fba64cf1e)] -> xpath: //a[@id='itemc'][text()='Phones']]
2020-10-16 18:38:20 INFO  CommonUtils:23 - Clicking on element - [[ChromeDriver: chrome on WINDOWS (a1830caa6af76161cfcba57fba64cf1e)] -> xpath: //a[@class='nav-link'][contains(text(),'Home')]]
2020-10-16 18:38:20 INFO  CommonUtils:23 - Clicking on element - [[ChromeDriver: chrome on WINDOWS (a1830caa6af76161cfcba57fba64cf1e)] -> xpath: //a[@id='itemc'][text()='Laptops']]
2020-10-16 18:38:20 INFO  CommonUtils:23 - Clicking on element - Proxy element for: DefaultElementLocator 'By.xpath: //a[text()='Add to cart']'
2020-10-16 18:38:20 INFO  CommonUtils:23 - Clicking on element - [[ChromeDriver: chrome on WINDOWS (a1830caa6af76161cfcba57fba64cf1e)] -> xpath: //a[@class='nav-link'][contains(text(),'Home')]]
2020-10-16 18:38:21 INFO  CommonUtils:23 - Clicking on element - [[ChromeDriver: chrome on WINDOWS (a1830caa6af76161cfcba57fba64cf1e)] -> xpath: //a[@id='itemc'][text()='Laptops']]
2020-10-16 18:38:21 INFO  CommonUtils:23 - Clicking on element - Proxy element for: DefaultElementLocator 'By.xpath: //a[text()='Add to cart']'
2020-10-16 18:38:21 INFO  CommonUtils:23 - Clicking on element - [[ChromeDriver: chrome on WINDOWS (a1830caa6af76161cfcba57fba64cf1e)] -> xpath: //a[@class='nav-link'][contains(text(),'Cart')]]
2020-10-16 18:41:15 INFO  DriverUtils:22 - Launching Chrome Browser.
2020-10-16 18:41:22 INFO  CommonUtils:23 - Clicking on element - [[ChromeDriver: chrome on WINDOWS (64eb6c171c78979b008f54ac289fce8c)] -> xpath: //a[@id='itemc'][text()='Phones']]
2020-10-16 18:41:23 INFO  AssertionUtils:29 - WebElement: Actual text is Samsung galaxy s6 and expected text is Samsung galaxy s6
2020-10-16 18:41:23 INFO  CommonUtils:23 - Clicking on element - [[ChromeDriver: chrome on WINDOWS (64eb6c171c78979b008f54ac289fce8c)] -> xpath: //a[@id='itemc'][text()='Laptops']]
2020-10-16 18:41:23 INFO  AssertionUtils:29 - WebElement: Actual text is Samsung galaxy s6 and expected text is Sony vaio i5
2020-10-16 18:41:23 INFO  CommonUtils:23 - Clicking on element - [[ChromeDriver: chrome on WINDOWS (64eb6c171c78979b008f54ac289fce8c)] -> xpath: //a[@class='nav-link'][contains(text(),'Home')]]
2020-10-16 18:41:24 INFO  CommonUtils:23 - Clicking on element - [[ChromeDriver: chrome on WINDOWS (64eb6c171c78979b008f54ac289fce8c)] -> xpath: //a[@id='itemc'][text()='Laptops']]
2020-10-16 18:41:39 INFO  CommonUtils:23 - Clicking on element - Proxy element for: DefaultElementLocator 'By.xpath: //a[text()='Add to cart']'
